"No.Courge","X.Par","Traitement","TRT..","Rep1","Poids_g","HV.Pseudo","HV.Pénétrant","Pseudo.Cicatrice","Pseudo.bosse","Black.Rot"
"1",1,1,"Soil",4,1,2800,0,0,0,1,0
"2",2,1,"Soil",4,1,3340,1,0,0,0,0
"3",3,1,"Soil",4,1,1910,1,0,0,0,0
"4",4,1,"Soil",4,1,2370,0,0,5,0,0
"5",5,1,"Soil",4,1,2660,10,10,0,0,0
"6",6,1,"Soil",4,1,2450,0,0,0,5,0
"7",7,1,"Soil",4,1,1830,0,0,0,0,0
"8",8,1,"Soil",4,1,1670,0,0,0,0,0
"9",9,1,"Soil",4,1,1060,0,0,0,5,0
"10",10,1,"Soil",4,1,1630,0,0,0,0,0
"11",11,1,"Soil",4,1,3030,1,5,10,5,0
"12",12,1,"Soil",4,1,1310,5,0,0,0,0
"13",13,1,"Soil",4,1,940,0,0,5,0,0
"14",14,1,"Soil",4,1,940,0,0,0,0,0
"15",15,1,"Soil",4,1,1900,0,0,0,0,0
"16",16,1,"Soil",4,1,1920,0,0,0,0,0
"17",17,1,"Soil",4,1,1040,0,0,0,0,0
"18",18,1,"Soil",4,1,2030,1,0,0,0,0
"19",19,1,"Soil",4,1,1690,0,0,0,5,0
"20",20,1,"Soil",4,1,1060,0,0,0,0,0
"21",21,1,"Soil",4,1,1220,0,0,0,0,0
"22",22,1,"Soil",4,1,1590,0,0,0,1,0
"23",23,1,"Soil",4,1,1650,0,0,0,1,0
"24",24,1,"Soil",4,1,800,0,0,0,0,0
"25",25,1,"Soil",4,1,820,0,0,0,0,0
"26",26,1,"Soil",4,1,700,0,0,0,0,0
"27",27,1,"Soil",4,1,840,0,0,0,0,0
"28",28,1,"Soil",4,1,1530,0,0,0,0,0
"29",29,1,"Soil",4,1,1400,0,0,0,5,0
"30",30,1,"Soil",4,1,2990,5,0,0,1,0
"31",31,1,"Soil",4,1,1610,1,0,1,0,0
"32",32,1,"Soil",4,1,1080,0,0,0,0,0
"33",33,1,"Soil",4,1,1580,0,0,0,5,0
"34",34,1,"Soil",4,1,1860,0,0,0,5,0
"35",35,1,"Soil",4,1,1910,0,5,0,0,0
"36",36,1,"Soil",4,1,1110,0,0,1,5,0
"37",37,1,"Soil",4,1,610,0,0,1,1,0
"38",38,1,"Soil",4,1,850,5,0,10,0,0
"39",39,1,"Soil",4,1,750,0,0,0,0,0
"40",40,1,"Soil",4,1,1250,0,0,0,1,0
"41",41,1,"Soil",4,1,1210,1,0,0,5,0
"42",42,1,"Soil",4,1,1450,0,0,0,0,0
"43",43,1,"Soil",4,1,1410,0,0,0,1,0
"44",44,1,"Soil",4,1,1530,0,5,0,0,0
"45",45,1,"Soil",4,1,1230,0,0,0,0,0
"46",46,1,"Soil",4,1,1670,0,0,0,1,0
"47",47,1,"Soil",4,1,1040,0,0,1,0,0
"48",48,1,"Soil",4,1,1490,0,0,0,0,0
"49",49,1,"Soil",4,1,2040,0,0,10,0,0
"50",50,1,"Soil",4,1,760,0,0,0,0,0
"51",51,1,"Soil",4,1,3010,0,0,10,0,0
"52",52,1,"Soil",4,1,2180,0,0,0,0,0
"53",53,1,"Soil",4,1,590,0,0,0,0,0
"54",54,1,"Soil",4,1,1790,0,0,5,0,0
"55",55,1,"Soil",4,1,1270,0,0,0,0,0
"56",56,1,"Soil",4,1,1810,0,0,0,0,0
"57",57,1,"Soil",4,1,2730,0,0,0,0,0
"58",1,2,"Plastic",3,1,1630,5,0,0,0,0
"59",2,2,"Plastic",3,1,1840,0,0,5,1,0
"60",3,2,"Plastic",3,1,2310,5,1,0,0,0
"61",4,2,"Plastic",3,1,1460,0,0,0,0,0
"62",5,2,"Plastic",3,1,2210,0,0,0,0,0
"63",6,2,"Plastic",3,1,1910,0,0,0,5,0
"64",7,2,"Plastic",3,1,1810,0,0,0,0,0
"65",8,2,"Plastic",3,1,1260,0,0,1,0,0
"66",9,2,"Plastic",3,1,2560,5,5,0,0,0
"67",10,2,"Plastic",3,1,2040,0,0,0,0,0
"68",11,2,"Plastic",3,1,2020,20,20,0,0,0
"69",12,2,"Plastic",3,1,3380,0,0,10,0,0
"70",13,2,"Plastic",3,1,2590,0,5,0,0,0
"71",14,2,"Plastic",3,1,1220,0,0,5,1,0
"72",15,2,"Plastic",3,1,1870,0,15,10,1,0
"73",16,2,"Plastic",3,1,3440,0,0,0,0,0
"74",17,2,"Plastic",3,1,2110,0,0,0,0,0
"75",18,2,"Plastic",3,1,2460,0,5,15,5,0
"76",19,2,"Plastic",3,1,1610,0,0,0,0,0
"77",20,2,"Plastic",3,1,1310,0,0,0,0,0
"78",21,2,"Plastic",3,1,1830,1,0,0,0,0
"79",22,2,"Plastic",3,1,1670,0,0,0,0,0
"80",23,2,"Plastic",3,1,1880,5,10,0,0,0
"81",24,2,"Plastic",3,1,1620,1,10,0,0,0
"82",25,2,"Plastic",3,1,1680,0,0,0,5,0
"83",26,2,"Plastic",3,1,1810,0,0,5,1,0
"84",27,2,"Plastic",3,1,2430,0,0,5,0,0
"85",28,2,"Plastic",3,1,2290,0,0,15,0,0
"86",29,2,"Plastic",3,1,2950,10,5,0,0,0
"87",30,2,"Plastic",3,1,2040,0,0,0,1,0
"88",31,2,"Plastic",3,1,1000,1,0,0,5,0
"89",32,2,"Plastic",3,1,1280,0,0,0,0,0
"90",33,2,"Plastic",3,1,810,0,0,0,0,0
"91",34,2,"Plastic",3,1,950,0,0,5,0,0
"92",35,2,"Plastic",3,1,510,0,0,0,0,0
"93",36,2,"Plastic",3,1,1260,0,0,5,5,0
"94",37,2,"Plastic",3,1,970,0,0,0,0,0
"95",38,2,"Plastic",3,1,1380,0,30,5,0,0
"96",39,2,"Plastic",3,1,1800,0,0,10,5,0
"97",40,2,"Plastic",3,1,750,0,0,0,1,0
"98",41,2,"Plastic",3,1,740,0,0,0,0,0
"99",42,2,"Plastic",3,1,1160,0,0,0,0,0
"100",43,2,"Plastic",3,1,1240,10,10,0,0,0
"101",44,2,"Plastic",3,1,1540,0,0,0,1,0
"102",45,2,"Plastic",3,1,1030,5,10,0,0,0
"103",46,2,"Plastic",3,1,840,5,5,0,0,0
"104",47,2,"Plastic",3,1,1440,0,0,0,0,0
"105",48,2,"Plastic",3,1,830,0,0,0,0,0
"106",49,2,"Plastic",3,1,940,0,0,0,5,0
"107",50,2,"Plastic",3,1,1430,0,0,0,0,0
"108",51,2,"Plastic",3,1,900,0,0,1,0,0
"109",52,2,"Plastic",3,1,2160,0,0,0,0,0
"110",53,2,"Plastic",3,1,1200,0,0,5,0,0
"111",54,2,"Plastic",3,1,1150,1,5,5,0,0
"112",55,2,"Plastic",3,1,730,1,0,0,0,0
"113",56,2,"Plastic",3,1,700,10,10,0,5,0
"114",57,2,"Plastic",3,1,850,0,0,5,1,0
"115",58,2,"Plastic",3,1,1770,1,0,0,0,0
"116",59,2,"Plastic",3,1,610,0,0,0,0,0
"117",60,2,"Plastic",3,1,1290,0,0,1,0,0
"118",61,2,"Plastic",3,1,1610,0,0,0,1,0
"119",62,2,"Plastic",3,1,1590,10,5,5,5,0
"120",63,2,"Plastic",3,1,920,10,5,1,5,0
"121",64,2,"Plastic",3,1,1040,0,0,0,0,0
"122",65,2,"Plastic",3,1,2220,5,0,5,0,0
"123",66,2,"Plastic",3,1,1260,0,0,0,0,0
"124",67,2,"Plastic",3,1,1640,0,0,0,0,0
"125",68,2,"Plastic",3,1,820,5,0,0,0,0
"126",69,2,"Plastic",3,1,1650,1,0,1,5,0
"127",70,2,"Plastic",3,1,1070,0,0,1,0,0
"128",71,2,"Plastic",3,1,1170,1,5,0,1,0
"129",72,2,"Plastic",3,1,2030,0,0,0,0,0
"130",73,2,"Plastic",3,1,1440,0,0,1,0,0
"131",74,2,"Plastic",3,1,550,1,5,5,0,0
"132",75,2,"Plastic",3,1,2410,0,0,0,5,0
"133",76,2,"Plastic",3,1,1530,0,0,1,0,0
"134",77,2,"Plastic",3,1,790,5,15,0,0,0
"135",78,2,"Plastic",3,1,1070,0,0,0,1,0
"136",79,2,"Plastic",3,1,2460,0,0,0,1,0
"137",80,2,"Plastic",3,1,1790,0,0,0,0,0
"138",81,2,"Plastic",3,1,1860,0,0,0,0,0
"139",82,2,"Plastic",3,1,1140,0,0,0,0,0
"140",83,2,"Plastic",3,1,1370,0,0,0,1,0
"141",84,2,"Plastic",3,1,1100,0,0,0,5,0
"142",1,3,"Rye+Gly",2,1,2180,0,0,0,0,0
"143",2,3,"Rye+Gly",2,1,1630,2,0,0,0,0
"144",3,3,"Rye+Gly",2,1,1800,0,0,0,0,0
"145",4,3,"Rye+Gly",2,1,1990,0,0,0,0,0
"146",5,3,"Rye+Gly",2,1,1560,0,0,0,0,0
"147",6,3,"Rye+Gly",2,1,1510,1,0,0,0,0
"148",7,3,"Rye+Gly",2,1,1480,0,0,0,0,0
"149",8,3,"Rye+Gly",2,1,2340,5,0,1,0,0
"150",9,3,"Rye+Gly",2,1,2010,1,0,1,0,0
"151",10,3,"Rye+Gly",2,1,2880,0,0,0,0,0
"152",11,3,"Rye+Gly",2,1,1470,0,0,5,0,0
"153",12,3,"Rye+Gly",2,1,1050,0,0,0,0,0
"154",13,3,"Rye+Gly",2,1,2100,1,10,0,0,0
"155",14,3,"Rye+Gly",2,1,1290,0,0,0,0,0
"156",15,3,"Rye+Gly",2,1,1290,0,0,0,0,0
"157",16,3,"Rye+Gly",2,1,1340,0,0,0,0,0
"158",17,3,"Rye+Gly",2,1,1970,0,0,1,0,0
"159",18,3,"Rye+Gly",2,1,1930,0,0,1,0,0
"160",19,3,"Rye+Gly",2,1,2070,1,0,0,0,0
"161",20,3,"Rye+Gly",2,1,1550,5,0,0,0,0
"162",21,3,"Rye+Gly",2,1,1420,5,0,0,0,0
"163",22,3,"Rye+Gly",2,1,2930,0,0,0,0,0
"164",23,3,"Rye+Gly",2,1,2030,0,15,0,0,0
"165",24,3,"Rye+Gly",2,1,2620,0,0,0,0,0
"166",25,3,"Rye+Gly",2,1,1320,0,5,0,0,0
"167",26,3,"Rye+Gly",2,1,1470,0,0,0,0,0
"168",27,3,"Rye+Gly",2,1,1310,0,0,0,0,0
"169",28,3,"Rye+Gly",2,1,1460,5,0,0,0,0
"170",29,3,"Rye+Gly",2,1,2040,1,15,10,0,0
"171",30,3,"Rye+Gly",2,1,2050,1,0,0,0,0
"172",31,3,"Rye+Gly",2,1,1780,0,0,0,0,0
"173",32,3,"Rye+Gly",2,1,1270,1,0,0,0,0
"174",33,3,"Rye+Gly",2,1,1440,1,15,0,0,0
"175",34,3,"Rye+Gly",2,1,740,5,0,0,0,0
"176",35,3,"Rye+Gly",2,1,1300,0,0,0,0,0
"177",36,3,"Rye+Gly",2,1,1040,0,0,5,0,0
"178",37,3,"Rye+Gly",2,1,1980,0,0,0,0,0
"179",38,3,"Rye+Gly",2,1,1750,0,5,0,0,0
"180",39,3,"Rye+Gly",2,1,710,0,0,0,0,0
"181",40,3,"Rye+Gly",2,1,1050,0,0,0,0,0
"182",41,3,"Rye+Gly",2,1,660,0,0,0,0,0
"183",42,3,"Rye+Gly",2,1,930,0,0,1,0,0
"184",43,3,"Rye+Gly",2,1,1320,0,25,5,0,0
"185",44,3,"Rye+Gly",2,1,1910,0,1,1,0,0
"186",45,3,"Rye+Gly",2,1,1370,0,0,0,0,0
"187",46,3,"Rye+Gly",2,1,1580,0,0,0,0,0
"188",47,3,"Rye+Gly",2,1,790,0,0,0,0,0
"189",48,3,"Rye+Gly",2,1,1290,0,0,1,0,0
"190",49,3,"Rye+Gly",2,1,1360,0,5,0,0,0
"191",50,3,"Rye+Gly",2,1,610,0,0,0,0,0
"192",51,3,"Rye+Gly",2,1,1910,0,0,0,0,0
"193",52,3,"Rye+Gly",2,1,2260,0,0,0,0,0
"194",53,3,"Rye+Gly",2,1,1410,0,0,0,0,0
"195",54,3,"Rye+Gly",2,1,970,0,0,1,0,0
"196",55,3,"Rye+Gly",2,1,2660,0,0,5,0,5
"197",56,3,"Rye+Gly",2,1,1570,0,0,0,0,0
"198",57,3,"Rye+Gly",2,1,1910,0,0,0,0,0
"199",58,3,"Rye+Gly",2,1,1890,0,0,0,0,0
"200",59,3,"Rye+Gly",2,1,1350,0,0,0,0,0
"201",1,4,"Rye",1,1,2930,4,0,0,0,0
"202",2,4,"Rye",1,1,1550,15,0,0,0,0
"203",3,4,"Rye",1,1,2370,0,0,0,0,0
"204",4,4,"Rye",1,1,2320,5,1,0,0,0
"205",5,4,"Rye",1,1,2460,0,0,0,0,0
"206",6,4,"Rye",1,1,2360,1,0,0,1,0
"207",7,4,"Rye",1,1,1460,0,0,0,1,0
"208",8,4,"Rye",1,1,680,0,0,0,0,0
"209",9,4,"Rye",1,1,1380,0,0,0,0,0
"210",10,4,"Rye",1,1,1220,1,0,0,0,0
"211",11,4,"Rye",1,1,2060,0,0,0,0,0
"212",12,4,"Rye",1,1,1650,0,0,1,0,0
"213",13,4,"Rye",1,1,1870,5,0,0,0,0
"214",14,4,"Rye",1,1,1570,0,0,0,0,0
"215",15,4,"Rye",1,1,2200,0,0,0,0,0
"216",16,4,"Rye",1,1,2150,0,0,0,0,0
"217",17,4,"Rye",1,1,2650,5,1,10,0,0
"218",18,4,"Rye",1,1,1890,1,0,0,0,0
"219",19,4,"Rye",1,1,2080,1,5,1,0,0
"220",20,4,"Rye",1,1,2120,1,1,0,0,0
"221",21,4,"Rye",1,1,1770,0,0,0,0,0
"222",22,4,"Rye",1,1,1100,5,10,1,0,5
"223",23,4,"Rye",1,1,2060,0,0,0,0,0
"224",24,4,"Rye",1,1,1070,1,5,0,0,0
"225",25,4,"Rye",1,1,1950,0,0,0,0,0
"226",26,4,"Rye",1,1,1540,0,0,0,0,0
"227",27,4,"Rye",1,1,1500,1,0,0,0,0
"228",28,4,"Rye",1,1,1320,0,0,0,0,0
