"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P36","P36","Seigle","Date 0","24","Seigle",6,3,11.26,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P37","P37","Seigle","Date 1","3","Seigle",1,1,12.39,"110",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P38","P38","Seigle","Date 1","3","Seigle",1,2,17.85,"110",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P39","P39","Seigle","Date 1","3","Seigle",1,3,18.41,"110",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P40","P40","Seigle","Date 1","4","Seigle_Bru",1,1,11.09,"110",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P41","P41","Seigle","Date 1","4","Seigle_Bru",1,2,7.8,"110",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P42","P42","Seigle","Date 1","4","Seigle_Bru",1,3,6.94,"110",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P43","P43","Seigle","Date 1","6","Seigle_Bru",2,1,11.38,"110",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P44","P44","Seigle","Date 1","6","Seigle_Bru",2,2,9.24,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P45","P45","Seigle","Date 1","6","Seigle_Bru",2,3,9.39,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P46","P46","Seigle","Date 1","8","Seigle",2,1,15.42,"110",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P47","P47","Seigle","Date 1","8","Seigle",2,2,9.5,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P48","P48","Seigle","Date 1","8","Seigle",2,3,13.48,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P49","P49","Seigle","Date 1","10","Seigle",3,1,13.61,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P50","P50","Seigle","Date 1","10","Seigle",3,2,10.45,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P51","P51","Seigle","Date 1","10","Seigle",3,3,17.69,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P52","P52","Seigle","Date 1","11","Seigle_Bru",3,1,8.48,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P53","P53","Seigle","Date 1","11","Seigle_Bru",3,2,13,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P54","P54","Seigle","Date 1","11","Seigle_Bru",3,3,9.24,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P55","P55","Seigle","Date 1","15","Seigle",4,1,16.85,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P56","P56","Seigle","Date 1","15","Seigle",4,2,15.78,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P57","P57","Seigle","Date 1","15","Seigle",4,3,11.78,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P58","P58","Seigle","Date 1","16","Seigle_Bru",4,1,10.31,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P59","P59","Seigle","Date 1","16","Seigle_Bru",4,2,10.56,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P60","P60","Seigle","Date 1","16","Seigle_Bru",4,3,6.87,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P61","P61","Seigle","Date 1","18","Seigle",5,1,20.49,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P62","P62","Seigle","Date 1","18","Seigle",5,2,17.06,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P63","P63","Seigle","Date 1","18","Seigle",5,3,19.35,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P64","P64","Seigle","Date 1","19","Seigle_Bru",5,1,14.72,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P65","P65","Seigle","Date 1","19","Seigle_Bru",5,2,12.72,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P66","P66","Seigle","Date 1","19","Seigle_Bru",5,3,10.36,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P67","P67","Seigle","Date 1","22","Seigle_Bru",6,1,10.59,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
