"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"C2.2","C2.2","Courge","Date 1","1","Sol_nu",1,2,25.67,"110",NA,NA,1,"4","2",NA,5.63,5.48,428516,299961,0.01,10,0.01,7
"C3","C3","Courge","Date 1","1","Sol_nu",1,3,14.57,"110",NA,NA,1,"1",NA,NA,4.48,5.08,30199,120796,0.1,4,0.1,16
"C4","C4","Courge","Date 1","2","Plastique",1,1,26.38,"110",NA,NA,2,"5",NA,NA,5.57,5.4,375284,250190,0.01,9,0.01,6
"C5","C5","Courge","Date 1","2","Plastique",1,2,23.68,"110",NA,NA,2,"5",NA,NA,4.62,4.57,41807,37162,0.1,9,0.1,8
"C6","C6","Courge","Date 1","2","Plastique",1,3,25.56,"110",NA,NA,2,"5",NA,NA,5.78,5.84,602504,688576,0.01,14,0.01,16
"C7","C7","Courge","Date 1","3","Seigle",1,1,16.79,"110",NA,NA,1,"1",NA,NA,4.9,5.56,78618,366885,0.1,12,0.1,56
"C8","C8","Courge","Date 1","3","Seigle",1,2,13.67,"110",NA,NA,1,"1",NA,NA,5.61,5.75,410388,563277,0.1,51,0.01,7
"C9","C9","Courge","Date 1","3","Seigle",1,3,13.6,"110",NA,NA,1,"1",NA,NA,1.91,5.11,81,129412,1,0.1,0.1,16
"C10","C10","Courge","Date 1","4","Seigle_Bru",1,1,13.97,"110",NA,NA,2,"5",NA,NA,5.26,6.04,181102,1102362,0.1,23,0.01,14
"C11","C11","Courge","Date 1","4","Seigle_Bru",1,2,20.37,"110",NA,NA,2,"5",NA,NA,5.69,5.73,486009,540010,0.01,9,0.01,10
"C12","C12","Courge","Date 1","4","Seigle_Bru",1,3,12.85,"110",NA,NA,2,"5",NA,NA,4.23,5.05,17121,111284,0.1,2,0.1,13
"C13","C13","Courge","Date 1","5","Plastique",2,1,22.48,"110",NA,NA,1,"1",NA,NA,5.87,5.73,733986,538256,0.01,15,0.01,11
"C14","C14","Courge","Date 1","5","Plastique",2,2,16.13,"110",NA,NA,1,"1",NA,NA,4.95,5.16,88655,143211,0.1,13,0.1,21
"C15","C15","Courge","Date 1","5","Plastique",2,3,18.7,"110",NA,NA,1,"1",NA,NA,5.97,5.85,941176,705882,0.01,16,0.01,12
"C16","C16","Courge","Date 1","6","Seigle_Bru",2,1,19.37,"110",NA,NA,2,"5",NA,NA,5.75,5.9,567888,795044,0.01,10,0.01,14
"C17.1","C17.1","Courge","Date 1","6","Seigle_Bru",2,2,12.24,"110",NA,NA,2,"5","1",NA,6,6.16,988562,1437908,0.01,11,0.01,16
"C17.2","C17.2","Courge","Date 1","6","Seigle_Bru",2,2,12.24,"110",NA,NA,2,"8","2",NA,6,6.16,988562,1437908,0.01,11,0.01,16
"C18.1","C18.1","Courge","Date 1","6","Seigle_Bru",2,3,9.8,"110",NA,NA,2,"5","1",NA,4.05,5.05,11224,112245,0.1,1,0.1,10
"C18.2","C18.2","Courge","Date 1","6","Seigle_Bru",2,3,9.8,"110",NA,NA,2,"8","2",NA,4.05,5.05,11224,112245,0.1,1,0.1,10
"C19","C19","Courge","Date 1","7","Sol_nu",2,1,15.05,"110",NA,NA,1,"1",NA,NA,5.82,5.82,657807,657807,0.01,9,0.01,9
"C20","C20","Courge","Date 1","7","Sol_nu",2,2,20.81,"110",NA,NA,1,"1",NA,NA,5.57,5.72,370014,528592,0.01,7,0.01,10
"C21","C21","Courge","Date 1","7","Sol_nu",2,3,15.3,"110",NA,NA,1,"1",NA,NA,6,5.81,1006536,647059,0.01,14,0.01,9
"C22","C22","Courge","Date 1","8","Seigle",2,1,5.98,"110",NA,NA,2,"5",NA,NA,4.57,4.87,36789,73579,0.1,2,0.1,4
"C23","C23","Courge","Date 1","8","Seigle",2,2,13.72,"110",NA,NA,2,"5",NA,NA,6.21,6.16,1603499,1443149,0.01,20,0.01,18
"C24","C24","Courge","Date 1","8","Seigle",2,3,6.8,"110",NA,NA,2,"5",NA,NA,5.81,6.05,647059,1132353,0.01,4,0.01,7
"C25","C25","Courge","Date 1","9","Sol_nu",3,1,14.55,"110",NA,NA,1,"1",NA,NA,6.29,6.43,1965636,2721649,0.01,26,0.01,36
"C26","C26","Courge","Date 1","9","Sol_nu",3,2,17.77,"110",NA,NA,1,"1",NA,NA,6.19,6.17,1547552,1485650,0.01,25,0.01,24
"C27","C27","Courge","Date 1","9","Sol_nu",3,3,20.36,"110",NA,NA,1,"1",NA,NA,5.33,5.33,216110,216110,0.01,4,0.01,4
"C28","C28","Courge","Date 1","10","Seigle",3,1,16.63,"110",NA,NA,2,"5",NA,NA,1.82,5.2,66,158749,1,0.1,0.1,24
"C29","C29","Courge","Date 1","10","Seigle",3,2,19.71,"110",NA,NA,2,"5",NA,NA,4.35,5.29,22324,195332,0.1,4,0.1,35
"C30","C30","Courge","Date 1","10","Seigle",3,3,10.75,"110",NA,NA,2,"5",NA,NA,5.27,5.69,184186,491163,0.1,18,0.1,48
"C31","C31","Courge","Date 1","11","Seigle_Bru",3,1,18.45,"110",NA,NA,1,"1",NA,NA,5.53,5.6,339837,399458,0.1,57,0.1,67
"C32","C32","Courge","Date 1","11","Seigle_Bru",3,2,19.86,"110",NA,NA,1,"1",NA,NA,5.44,5.35,276939,221551,0.01,5,0.01,4
"C33","C33","Courge","Date 1","11","Seigle_Bru",3,3,15.71,"110",NA,NA,1,"1",NA,NA,7.05,6.46,11203055,2870783,1,16,0.01,41
"C34","C34","Courge","Date 1","12","Plastique",3,1,29.28,"110",NA,NA,2,"5",NA,NA,5.35,5.51,225410,323087,0.01,6,0.1,86
"C35","C35","Courge","Date 1","12","Plastique",3,2,33.22,"110",NA,NA,2,"5",NA,NA,4.67,4.67,46358,46358,0.1,14,0.1,14
"C36","C36","Courge","Date 1","12","Plastique",3,3,22.85,"110",NA,NA,2,"5",NA,NA,5.06,5.14,115536,139606,0.1,24,0.1,29
"C37","C37","Courge","Date 1","13","Plastique",4,1,23.52,"110",NA,NA,1,"1",NA,NA,5.67,5.67,467687,467687,0.01,10,0.01,10
"C38","C38","Courge","Date 1","13","Plastique",4,2,19.98,"110",NA,NA,1,"1",NA,NA,5.44,5.59,275275,385385,0.01,5,0.01,7
"C39","C39","Courge","Date 1","13","Plastique",4,3,28.13,"110",NA,NA,1,"1",NA,NA,5.37,5.38,234625,238535,0.01,6,0.1,61
"C40","C40","Courge","Date 1","14","Sol_nu",4,1,13.11,"110",NA,NA,2,"5",NA,NA,5.7,5.62,503432,419527,0.01,6,0.01,5
"C41","C41","Courge","Date 1","14","Sol_nu",4,2,12.1,"110",NA,NA,2,"5",NA,NA,5.86,5.91,727273,818182,0.01,8,0.01,9
"C42","C42","Courge","Date 1","14","Sol_nu",4,3,13.26,"110",NA,NA,2,"5",NA,NA,5.22,5.76,165913,580694,0.01,2,0.1,70
"C43","C43","Courge","Date 1","15","Seigle",4,1,14.54,"110",NA,NA,1,"1",NA,NA,6.6,6.55,4009629,3555708,0.01,53,0.01,47
"C44","C44","Courge","Date 1","15","Seigle",4,2,17.73,"110",NA,NA,1,"1",NA,NA,5.79,5.94,620417,868584,0.01,10,0.01,14
"C45","C45","Courge","Date 1","15","Seigle",4,3,15.08,"110",NA,NA,1,"1",NA,NA,1.86,4.94,73,87533,1,0.1,0.1,12
"C46","C46","Courge","Date 1","16","Seigle_Bru",4,1,14.37,"110",NA,NA,2,"5",NA,NA,5.33,5.58,214335,382742,0.1,28,0.01,5
"C47","C47","Courge","Date 1","16","Seigle_Bru",4,2,16.37,"110",NA,NA,2,"5",NA,NA,5.87,5.97,739157,940745,0.01,11,0.01,14
"C48","C48","Courge","Date 1","16","Seigle_Bru",4,3,12.45,"110",NA,NA,2,"5",NA,NA,1.95,5.03,88,106024,1,0.1,0.1,12
"C49","C49","Courge","Date 1","17","Plastique",5,1,19.86,"110",NA,NA,1,"1",NA,NA,5.86,5.95,720040,886203,0.01,13,0.01,16
"C50","C50","Courge","Date 1","17","Plastique",5,2,26.31,"110",NA,NA,1,"1",NA,NA,5.58,5.47,376283,292664,0.01,9,0.01,7
"C51","C51","Courge","Date 1","17","Plastique",5,3,25.98,"110",NA,NA,1,"1",NA,NA,5.95,5.8,889145,635104,0.01,21,0.01,15
"C52","C52","Courge","Date 1","18","Seigle",5,1,12.92,"110",NA,NA,2,"5",NA,NA,6.93,6.36,8513932,2298762,1,10,0.01,27
"C53","C53","Courge","Date 1","18","Seigle",5,2,16.61,"110",NA,NA,2,"5",NA,NA,5.12,5.78,132450,596026,0.01,2,0.01,9
"C54","C54","Courge","Date 1","18","Seigle",5,3,11.69,"110",NA,NA,2,"5",NA,NA,7.58,7.45,37639008,28229256,1,40,1,30
"C55.1","C55.1","Courge","Date 1","19","Seigle_Bru",5,1,15.22,"110",NA,NA,1,"1","1",NA,1.86,4.46,72,28909,1,0.1,0.1,4
"C55.2","C55.2","Courge","Date 1","19","Seigle_Bru",5,1,15.22,"110",NA,NA,1,"4","2",NA,1.86,4.46,72,28909,1,0.1,0.1,4
"C56","C56","Courge","Date 1","19","Seigle_Bru",5,2,16.95,"110",NA,NA,1,"1",NA,NA,5.72,5.99,519174,973451,0.01,8,0.01,15
"C57","C57","Courge","Date 1","19","Seigle_Bru",5,3,13.35,"110",NA,NA,1,"1",NA,NA,5.52,5.92,329588,823970,0.01,4,0.01,10
"C58","C58","Courge","Date 1","20","Sol_nu",5,1,16.36,"110",NA,NA,2,"5",NA,NA,6.27,6.52,1882641,3294621,0.01,28,0.01,49
"C59","C59","Courge","Date 1","20","Sol_nu",5,2,15.43,"110",NA,NA,2,"5",NA,NA,5.55,5.63,356448,427738,0.01,5,0.01,6
"C60","C60","Courge","Date 1","20","Sol_nu",5,3,14.61,"110",NA,NA,2,"5",NA,NA,6.37,6.55,2334018,3538672,0.01,31,0.01,47
"C61","C61","Courge","Date 1","21","Sol_nu",6,1,19.43,"110",NA,NA,1,"1",NA,NA,5.45,5.6,283067,396294,0.01,5,0.01,7
"C62","C62","Courge","Date 1","21","Sol_nu",6,2,17.87,"110",NA,NA,1,"2",NA,NA,5.99,5.97,984891,923335,0.01,16,0.01,15
"C63.1","C63.1","Courge","Date 1","21","Sol_nu",6,3,11.87,"110",NA,NA,1,"2","1",NA,5.27,5.44,185341,278012,0.01,2,0.01,3
"C63.2","C63.2","Courge","Date 1","21","Sol_nu",6,3,11.87,"110",NA,NA,1,"4","2",NA,5.27,5.44,185341,278012,0.01,2,0.01,3
"C64","C64","Courge","Date 1","22","Seigle_Bru",6,1,18.44,"110",NA,NA,2,"5",NA,NA,5.55,5.38,357918,238612,0.01,6,0.01,4
"C65","C65","Courge","Date 1","22","Seigle_Bru",6,2,19.16,"110",NA,NA,2,"6",NA,NA,5.06,5.54,114823,344468,0.01,2,0.01,6
"C66","C66","Courge","Date 1","22","Seigle_Bru",6,3,17.96,"110",NA,NA,2,"6",NA,NA,4.57,4.79,36748,61247,0.1,6,0.1,10
"C67.1","C67.1","Courge","Date 1","23","Plastique",6,1,18.17,"110",NA,NA,1,"2","1",NA,5.86,5.56,726472,363236,0.01,12,0.01,6
"C67.2","C67.2","Courge","Date 1","23","Plastique",6,1,18.17,"110",NA,NA,1,"4","2",NA,5.86,5.56,726472,363236,0.01,12,0.01,6
"C68.1","C68.1","Courge","Date 1","23","Plastique",6,2,14.85,"110",NA,NA,1,"2","1",NA,5.17,5.48,148148,303704,0.1,20,0.1,41
"C68.2","C68.2","Courge","Date 1","23","Plastique",6,2,14.85,"110",NA,NA,1,"4","2",NA,5.17,5.48,148148,303704,0.1,20,0.1,41
"C69","C69","Courge","Date 1","23","Plastique",6,3,12.9,"110",NA,NA,1,"2",NA,NA,6.04,5.89,1108527,767442,0.01,13,0.01,9
"C70","C70","Courge","Date 1","24","Seigle",6,1,6.08,"110",NA,NA,2,"6",NA,NA,5.26,5.6,180921,398026,0.1,10,0.1,22
"C71","C71","Courge","Date 1","24","Seigle",6,2,16.09,"110",NA,NA,2,"6",NA,NA,5.11,5.31,129894,205096,0.1,19,0.1,30
"C72","C72","Courge","Date 1","24","Seigle",6,3,7.33,"110",NA,NA,2,"6",NA,NA,2.18,5.13,150,135061,1,0.1,0.1,9
"C73","C73","Courge","Date 2","1","Sol_nu",1,1,12.79,"110",NA,NA,1,"2",NA,NA,5.98,6.49,946052,3096169,0.01,11,0.01,36
"C74","C74","Courge","Date 2","1","Sol_nu",1,2,10.87,"110",NA,NA,1,"2",NA,NA,6.28,6.68,1922723,4756210,0.01,19,0.01,47
"C75","C75","Courge","Date 2","1","Sol_nu",1,3,11.18,"110",NA,NA,1,"2",NA,NA,5.03,6.11,108229,1279070,0.1,11,0.01,13
"C76","C76","Courge","Date 2","2","Plastique",1,1,8.72,"110",NA,NA,2,"6",NA,NA,2.1,6.33,126,2144495,1,0.1,0.01,17
"C77","C77","Courge","Date 2","2","Plastique",1,2,10.37,"110",NA,NA,2,"6",NA,NA,5.3,6.42,201543,2651880,0.1,19,0.01,25
"C78","C78","Courge","Date 2","2","Plastique",1,3,13.25,"110",NA,NA,2,"6",NA,NA,3.92,6.48,8302,2988679,0.1,1,0.01,36
"C79","C79","Courge","Date 2","3","Seigle",1,1,13.75,"110",NA,NA,1,"2",NA,NA,4.6,6.16,40000,1440000,0.1,5,0.01,18
"C80","C80","Courge","Date 2","3","Seigle",1,2,17.05,"110",NA,NA,1,"2",NA,NA,1.81,5.89,65,774194,1,0.1,0.01,12
"C81","C81","Courge","Date 2","3","Seigle",1,3,11.75,"110",NA,NA,1,"2",NA,NA,5.45,6.46,280851,2902128,0.1,30,0.01,31
"C82","C82","Courge","Date 2","4","Seigle_Bru",1,1,9.57,"110",NA,NA,2,"6",NA,NA,5.06,6.72,114943,5287356,0.1,10,0.01,46
"C83","C83","Courge","Date 2","4","Seigle_Bru",1,2,8.27,"110",NA,NA,2,"6",NA,NA,4.12,7.2,13301,15961306,0.1,1,1,12
"C84","C84","Courge","Date 2","4","Seigle_Bru",1,3,8.8,"110",NA,NA,2,"6",NA,NA,4.4,6.95,25000,9000000,0.1,2,0.01,72
"C85","C85","Courge","Date 2","5","Plastique",2,1,12.87,"110",NA,NA,1,"2",NA,NA,5.53,6.19,341880,1538462,0.01,4,0.01,18
"C86","C86","Courge","Date 2","5","Plastique",2,2,8.68,"110",NA,NA,1,"2",NA,NA,5.58,6.43,380184,2661290,0.01,3,0.01,21
"C87","C87","Courge","Date 2","5","Plastique",2,3,8.89,"110",NA,NA,1,"2",NA,NA,5.21,6.93,160855,8537683,0.1,13,0.01,69
"C88","C88","Courge","Date 2","6","Seigle_Bru",2,1,9.55,"110",NA,NA,2,"6",NA,NA,5.76,6.83,575916,6795812,0.01,5,0.01,59
"C89","C89","Courge","Date 2","6","Seigle_Bru",2,2,16.12,"110",NA,NA,2,"6",NA,NA,1.83,6.52,68,3343672,1,0.1,0.01,49
"C90","C90","Courge","Date 2","6","Seigle_Bru",2,3,7.54,"110",NA,NA,2,"6",NA,NA,4.16,6.6,14589,3938992,0.1,1,0.01,27
"C91","C91","Courge","Date 2","7","Sol_nu",2,1,7.12,"110",NA,NA,1,"2",NA,NA,5.03,6.77,108146,5870787,0.1,7,0.01,38
"C92","C92","Courge","Date 2","7","Sol_nu",2,2,12.48,"110",NA,NA,1,"2",NA,NA,6.29,6.84,1939103,6963141,0.01,22,0.01,79
"C93","C93","Courge","Date 2","7","Sol_nu",2,3,11.51,"110",NA,NA,1,"2",NA,NA,5.98,6.82,955691,6594266,0.01,10,0.01,69
"C94","C94","Courge","Date 2","8","Seigle",2,1,11.39,"110",NA,NA,2,"6",NA,NA,4.98,6.83,96576,6760316,0.1,10,1,7
"C95","C95","Courge","Date 2","8","Seigle",2,2,13.25,"110",NA,NA,2,"6",NA,NA,4.87,1.92,74717,83,0.1,9,1,0.1
"C96","C96","Courge","Date 2","8","Seigle",2,3,12.56,"110",NA,NA,2,"6",NA,NA,5.53,6.42,341561,2627389,0.1,39,0.01,30
"C97","C97","Courge","Date 2","9","Sol_nu",3,1,59.5,"110",NA,NA,1,"2",NA,NA,4.57,5.52,36975,332773,0.1,20,0.01,18
"C98","C98","Courge","Date 2","9","Sol_nu",3,2,12.37,"110",NA,NA,1,"2",NA,NA,6.06,6.56,1156023,3645918,0.01,13,0.01,41
"C99","C99","Courge","Date 2","9","Sol_nu",3,3,16.93,"110",NA,NA,1,"2",NA,NA,4.93,6.3,84465,2014176,0.1,13,0.01,31
"C100","C100","Courge","Date 2","10","Seigle",3,1,9.16,"110",NA,NA,2,"6",NA,NA,5.26,6.73,180131,5403930,0.1,15,0.01,45
"C101","C101","Courge","Date 2","10","Seigle",3,2,6.77,"110",NA,NA,2,"6",NA,NA,2.21,7.32,162,21122600,1,0.1,1,13
"C102","C102","Courge","Date 2","10","Seigle",3,3,84.6,"110",NA,NA,2,"6",NA,NA,1.11,6.16,13,1430260,1,0.1,1,11
"C103","C103","Courge","Date 2","11","Seigle_Bru",3,1,9.41,"110",NA,NA,1,"2",NA,NA,5.21,6.24,163656,1753454,0.1,14,0.01,15
"C104","C104","Courge","Date 2","11","Seigle_Bru",3,2,8.21,"110",NA,NA,1,"2",NA,NA,5.21,7.67,160780,46894032,0.1,12,1,35
"C105","C105","Courge","Date 2","11","Seigle_Bru",3,3,9.15,"110",NA,NA,1,"2",NA,NA,2.08,6.68,120,4808743,1,0.1,0.01,40
"C106","C106","Courge","Date 2","12","Plastique",3,1,11.59,"110",NA,NA,2,"6",NA,NA,5.18,6.28,151855,1898188,0.1,16,0.01,20
"C107","C107","Courge","Date 2","12","Plastique",3,2,9.31,"110",NA,NA,2,"6",NA,NA,6.41,6.45,2599356,2835661,0.01,22,0.01,24
"C108","C108","Courge","Date 2","12","Plastique",3,3,12.58,"110",NA,NA,2,"6",NA,NA,6.17,6.47,1486486,2972973,0.01,17,0.01,34
"C109","C109","Courge","Date 2","13","Plastique",4,1,5.7,"110",NA,NA,1,"2",NA,NA,5.56,6.14,366667,1389474,0.1,19,0.1,72
"C110","C110","Courge","Date 2","13","Plastique",4,2,6.58,"110",NA,NA,1,"2",NA,NA,5.6,6.5,401216,3176292,0.1,24,0.01,19
"C111","C111","Courge","Date 2","13","Plastique",4,3,6.92,"110",NA,NA,1,"2",NA,NA,6.1,6.69,1271676,4927746,0.01,8,0.01,31
"C112","C112","Courge","Date 2","14","Sol_nu",4,1,8.43,"110",NA,NA,2,"6",NA,NA,6.39,6.72,2479241,5219454,0.01,19,0.01,40
"C113","C113","Courge","Date 2","14","Sol_nu",4,2,7.78,"110",NA,NA,2,"6",NA,NA,5.51,7.41,325193,25449871,0.1,23,1,18
"C114","C114","Courge","Date 2","14","Sol_nu",4,3,7.07,"110",NA,NA,2,"6",NA,NA,5.89,5.86,777935,731259,0.01,5,0.1,47
"C115","C115","Courge","Date 2","15","Seigle",4,1,11.56,"110",NA,NA,1,"2",NA,NA,5.23,6.65,171280,4472318,0.1,18,0.01,47
"C116","C116","Courge","Date 2","15","Seigle",4,2,14.3,"110",NA,NA,1,"2",NA,NA,5.3,6.43,200000,2692308,0.1,26,0.01,35
"C117","C117","Courge","Date 2","15","Seigle",4,3,10.23,"110",NA,NA,1,"2",NA,NA,5.51,6.91,322581,8064516,0.01,3,0.01,75
"C118","C118","Courge","Date 2","16","Seigle_Bru",4,1,12.85,"110",NA,NA,2,"6",NA,NA,5.41,5.59,256809,385214,0.01,3,0.1,45
"C119","C119","Courge","Date 2","16","Seigle_Bru",4,2,12.31,"110",NA,NA,2,"6",NA,NA,5.16,5.85,142973,714866,0.1,16,0.01,8
"C120","C120","Courge","Date 2","16","Seigle_Bru",4,3,8.31,"110",NA,NA,2,"6",NA,NA,6.9,6.97,7942238,9265945,1,6,0.01,70
"C121","C121","Courge","Date 2","17","Plastique",5,1,6.05,"110",NA,NA,1,"2",NA,NA,6.3,6.71,2000000,5090909,0.01,11,0.01,28
"C122","C122","Courge","Date 2","17","Plastique",5,2,9.2,"110",NA,NA,1,"2",NA,NA,6.52,6.92,3347826,8369565,0.01,28,0.01,70
"C123","C123","Courge","Date 2","17","Plastique",5,3,8.77,"110",NA,NA,1,"3",NA,NA,6.3,6.44,2006842,2759407,0.01,16,0.01,22
"C124","C124","Courge","Date 2","18","Seigle",5,1,7.59,"110",NA,NA,2,"6",NA,NA,5.89,6.85,768116,7101449,0.1,53,0.01,49
"C125","C125","Courge","Date 2","18","Seigle",5,2,6.8,"110",NA,NA,2,"6",NA,NA,5.36,6.49,226471,3073529,0.1,14,0.01,19
"C126","C126","Courge","Date 2","18","Seigle",5,3,10.13,"110",NA,NA,2,"7",NA,NA,3.51,6.18,3258,1520237,1,3,0.01,14
"C127","C127","Courge","Date 2","19","Seigle_Bru",5,1,6.14,"110",NA,NA,1,"3",NA,NA,2.25,6.58,179,3762215,1,0.1,0.01,21
"C128","C128","Courge","Date 2","19","Seigle_Bru",5,2,7.01,"110",NA,NA,1,"3",NA,NA,4.67,6.43,47076,2667618,0.1,3,0.01,17
"C129","C129","Courge","Date 2","19","Seigle_Bru",5,3,15.8,"110",NA,NA,1,"3",NA,NA,5.16,7.1,146203,12531646,0.1,21,1,18
"C130","C130","Courge","Date 2","20","Sol_nu",5,1,9.17,"110",NA,NA,2,"7",NA,NA,5.86,6.19,719738,1559433,0.01,6,0.01,13
"C131","C131","Courge","Date 2","20","Sol_nu",5,2,8.51,"110",NA,NA,2,"7",NA,NA,5.51,6.64,323149,4394830,0.1,25,0.01,34
"C132","C132","Courge","Date 2","20","Sol_nu",5,3,9.18,"110",NA,NA,2,"7",NA,NA,5.68,6.74,479303,5511983,0.1,40,0.01,46
"C133","C133","Courge","Date 2","21","Sol_nu",6,1,7.58,"110",NA,NA,1,"3",NA,NA,5.52,6.83,333773,6820580,0.1,23,0.01,47
"C134","C134","Courge","Date 2","21","Sol_nu",6,2,6.35,"110",NA,NA,1,"3",NA,NA,2.24,6.82,173,6582677,1,0.1,0.01,38
"C135","C135","Courge","Date 2","21","Sol_nu",6,3,6.69,"110",NA,NA,1,"3",NA,NA,5.49,5.99,312407,986547,0.1,19,0.01,6
"C136","C136","Courge","Date 2","22","Seigle_Bru",6,1,6.34,"110",NA,NA,2,"7",NA,NA,5.39,6.32,242902,2082019,0.1,14,0.01,12
"C137","C137","Courge","Date 2","22","Seigle_Bru",6,2,9.9,"110",NA,NA,2,"7",NA,NA,5.66,6.73,455556,5333333,0.1,41,0.01,48
"C138","C138","Courge","Date 2","22","Seigle_Bru",6,3,7.06,"110",NA,NA,2,"7",NA,NA,5.71,7.31,514164,20254958,0.1,33,1,13
"C139","C139","Courge","Date 2","23","Plastique",6,1,8.72,"110",NA,NA,1,"3",NA,NA,4.4,6.75,25229,5676606,0.1,2,0.01,45
"C140","C140","Courge","Date 2","23","Plastique",6,2,7.82,"110",NA,NA,1,"3",NA,NA,5.84,6.85,689258,7033248,0.1,49,0.01,50
"C141","C141","Courge","Date 2","23","Plastique",6,3,7.7,"110",NA,NA,1,"3",NA,NA,5.2,6,157143,1000000,0.1,11,0.01,7
"C142","C142","Courge","Date 2","24","Seigle",6,1,8.36,"110",NA,NA,2,"7",NA,NA,5.96,6.61,921053,4078947,0.01,7,0.01,31
"C143","C143","Courge","Date 2","24","Seigle",6,2,8.08,"110",NA,NA,2,"7",NA,NA,6.13,6.76,1361386,5717822,0.01,10,0.01,42
"C144","C144","Courge","Date 2","24","Seigle",6,3,8.53,"110",NA,NA,2,"7",NA,NA,5.26,6.75,180539,5674091,0.1,14,0.01,44
"C145","C145","Courge","Date 3","1","Sol_nu",1,1,16.35,"125",NA,NA,1,"3",NA,NA,3.73,8.18,5352,152905199,1,7,1e-04,20
"C146","C146","Courge","Date 3","1","Sol_nu",1,2,16.75,"125",NA,NA,1,"3",NA,NA,4.17,7.95,14925,89552239,0.1,2,1e-04,12
"C147","C147","Courge","Date 3","1","Sol_nu",1,3,15.16,"125",NA,NA,1,"3",NA,NA,4.69,7.69,49472,49472296,0.1,6,1e-04,6
"C148","C148","Courge","Date 3","2","Plastique",1,1,22.01,"125",NA,NA,2,"7",NA,NA,5.06,8.01,113585,102226261,0.1,20,1e-04,18
"C149","C149","Courge","Date 3","2","Plastique",1,2,22.33,"125",NA,NA,2,"7",NA,NA,4.53,8.28,33587,190326914,0.1,6,1e-04,34
"C150","C150","Courge","Date 3","2","Plastique",1,3,26.71,"125",NA,NA,2,"7",NA,NA,4.27,8.05,18720,112317484,0.1,4,1e-04,24
"C151","C151","Courge","Date 3","3","Seigle",1,1,20.5,"125",NA,NA,1,"3",NA,NA,4.99,8.17,97561,146341463,0.1,16,1e-04,24
"C152","C152","Courge","Date 3","3","Seigle",1,2,14.82,"125",NA,NA,1,"3",NA,NA,4.18,7.1,15182,12651822,1,18,1,15
"C153","C153","Courge","Date 3","3","Seigle",1,3,17.55,"125",NA,NA,1,"3",NA,NA,4.63,7.63,42735,42735043,0.1,6,1e-04,6
"C154","C154","Courge","Date 3","4","Seigle_Bru",1,1,20.99,"125",NA,NA,2,"7",NA,NA,5.03,7.77,107194,59552168,0.1,18,1e-04,10
"C155","C155","Courge","Date 3","4","Seigle_Bru",1,2,28.19,"125",NA,NA,2,"7",NA,NA,5.55,8.08,354736,119723306,0.01,8,1e-04,27
"C156","C156","Courge","Date 3","4","Seigle_Bru",1,3,27.66,"125",NA,NA,2,"7",NA,NA,4.66,7.86,45192,72306580,0.1,10,1e-04,16
"C157","C157","Courge","Date 3","5","Plastique",2,1,21.63,"125",NA,NA,1,"3",NA,NA,4.46,8.5,28895,317845585,0.1,5,1e-04,55
"C158","C158","Courge","Date 3","5","Plastique",2,2,20.33,"125",NA,NA,1,"3",NA,NA,3.09,7.74,1230,55336940,1,2,1e-04,9
"C159","C159","Courge","Date 3","5","Plastique",2,3,23.4,"125",NA,NA,1,"3",NA,NA,3.87,8.05,7479,112179487,1,14,1e-04,21
"C160","C160","Courge","Date 3","6","Seigle_Bru",2,1,27.54,"125",NA,NA,2,"7",NA,NA,6.61,8.04,4084967,108932462,1,9,1e-04,24
"C161","C161","Courge","Date 3","6","Seigle_Bru",2,2,22.38,"125",NA,NA,2,"7",NA,NA,4.92,8.51,83780,323949955,0.1,15,1e-04,58
"C162","C162","Courge","Date 3","6","Seigle_Bru",2,3,23.45,"125",NA,NA,2,"7",NA,NA,5.03,8.22,106610,165245203,0.1,20,1e-04,31
"C163","C163","Courge","Date 3","7","Sol_nu",2,1,24.92,"125",NA,NA,1,"3",NA,NA,5,8.31,100321,205658106,0.01,2,1e-04,41
"C164","C164","Courge","Date 3","7","Sol_nu",2,2,26.16,"125",NA,NA,1,"3",NA,NA,5.16,7.98,143349,95565749,0.01,3,1e-04,20
"C165","C165","Courge","Date 3","7","Sol_nu",2,3,30.15,"125",NA,NA,1,"3",NA,NA,5.09,8.15,124378,140961857,0.01,3,1e-04,34
"C166","C166","Courge","Date 3","8","Seigle",2,1,21.61,"125",NA,NA,2,"7","1",NA,4.99,8.21,98334,161962055,0.1,17,1e-04,28
"C166.bis","C166.bis","Courge","Date 3","8","Seigle",2,1,21.61,"125",NA,NA,2,"7","2",NA,4.99,8.21,98334,161962055,0.1,17,1e-04,28
"C167","C167","Courge","Date 3","8","Seigle",2,2,20.35,"125",NA,NA,2,"7",NA,NA,5.2,8.33,159705,214987715,0.1,26,1e-04,35
"C168","C168","Courge","Date 3","8","Seigle",2,3,16.68,"125",NA,NA,2,"7",NA,NA,4.35,7.48,22482,29976019,0.1,3,1,40
"C169","C169","Courge","Date 3","9","Sol_nu",3,1,20.24,"125",NA,NA,1,"3",NA,NA,4.64,7.97,43231,92638340,0.1,7,1e-04,15
