id,material,year,date
MA17-177,Air,2017,Date 1
MA17-178,Air,2017,Date 1
MA17-179,Air,2017,Date 1
MA17-180,Air,2017,Date 1
MA17-181,Air,2017,Date 1
MA17-182,Air,2017,Date 1
MA17-183,Air,2017,Date 1
MA17-184,Air,2017,Date 1
MA17-185,Air,2017,Date 1
MA17-186,Air,2017,Date 1
MA17-187,Air,2017,Date 1
MA17-188,Air,2017,Date 1
ME17-189,Rainwater,2017,Date 2
ME17-190,Rainwater,2017,Date 2
ME17-191,Rainwater,2017,Date 2
ME17-192,Rainwater,2017,Date 2
ME17-193,Rainwater,2017,Date 2
ME17-194,Rainwater,2017,Date 2
ME17-195,Rainwater,2017,Date 2
ME17-196,Rainwater,2017,Date 2
ME17-197,Rainwater,2017,Date 2
ME17-198,Rainwater,2017,Date 2
ME17-199,Rainwater,2017,Date 2
ME17-200,Rainwater,2017,Date 2
ME17-201,Rainwater,2017,Date 2
ME17-202,Rainwater,2017,Date 2
ME17-203,Rainwater,2017,Date 2
ME17-204,Rainwater,2017,Date 2
ME17-205,Rainwater,2017,Date 2
ME17-206,Rainwater,2017,Date 2
ME17-207,Rainwater,2017,Date 2
MC17-208,Squash,2017,Date 2
MC17-209,Squash,2017,Date 2
MC17-210,Squash,2017,Date 2
MC17-211,Squash,2017,Date 2
MC17-212,Squash,2017,Date 2
MC17-213,Squash,2017,Date 2
MC17-214,Squash,2017,Date 2
MC17-215,Squash,2017,Date 2
MC17-216,Squash,2017,Date 2
MC17-217,Squash,2017,Date 2
MC17-218,Squash,2017,Date 2
MC17-219,Squash,2017,Date 2
MC17-220,Squash,2017,Date 2
MC17-221,Squash,2017,Date 2
MC17-222,Squash,2017,Date 2
MC17-223,Squash,2017,Date 2
MC17-224,Squash,2017,Date 2
MC17-225,Squash,2017,Date 2
MC17-226,Squash,2017,Date 2
MC17-227,Squash,2017,Date 2
MC17-228,Squash,2017,Date 2
MC17-229,Squash,2017,Date 2
MC17-230,Squash,2017,Date 2
MC17-231,Squash,2017,Date 2
MC17-232,Squash,2017,Date 2
MC17-233,Squash,2017,Date 2
MC17-234,Squash,2017,Date 2
MC17-235,Squash,2017,Date 2
MC17-236,Squash,2017,Date 2
MC17-237,Squash,2017,Date 2
MC17-238,Squash,2017,Date 2
MC17-239,Squash,2017,Date 2
MC17-240,Squash,2017,Date 2
MC17-241,Squash,2017,Date 2
MC17-242,Squash,2017,Date 2
MC17-243,Squash,2017,Date 2
MC17-244,Squash,2017,Date 2
MC17-245,Squash,2017,Date 2
MC17-246,Squash,2017,Date 2
MC17-247,Squash,2017,Date 2
MC17-248,Squash,2017,Date 2
MC17-249,Squash,2017,Date 2
MC17-250,Squash,2017,Date 2
MC17-251,Squash,2017,Date 2
MC17-252,Squash,2017,Date 2
MC17-253,Squash,2017,Date 2
MC17-254,Squash,2017,Date 2
MC17-255,Squash,2017,Date 2
MC17-256,Squash,2017,Date 2
MC17-257,Squash,2017,Date 2
MC17-258,Squash,2017,Date 2
MC17-259,Squash,2017,Date 2
MC17-260,Squash,2017,Date 2
MC17-261,Squash,2017,Date 2
MC17-262,Squash,2017,Date 2
MC17-263,Squash,2017,Date 2
MC17-264,Squash,2017,Date 2
